ASV,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,,
ae7d82f7e2fcd1d59f635d043f83ad91,0.973524521,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
be6120790028b413a2db9ae89c8ceaec,0.975300563,Eukaryota,A,,Bicosoecida,uncultured,uncultured eukaryote,,,,,,
fa77b1e5a652b7dd258e6b12d3081a10,0.9755641,Eukaryota,A,,Bicosoecida,uncultured,,,,,,,
bd94539d75fa2479a9272e690b291e4b,0.976870598,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
56653b1320b317f51b2c6427575189b0,0.978280157,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
7e1d1635ad48da28b8d93c01f78a87d3,0.979843851,Eukaryota,A,,Bicosoecida,uncultured,,,,,,,
a9328f3f94d6acbe1c9bff1809d762af,0.980894284,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
6919b632d43d691b02fa20538c493e42,0.980994573,Eukaryota,A,,Bicosoecida,uncultured,uncultured marine eukaryote,,,,,,
46724af611fe50546ea8d70715b06ed9,0.981109863,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca kenaiensis,,,,,,
f26e4de78375c5c21cb2781d861e8432,0.982928716,Eukaryota,A,,Bicosoecida,uncultured,,,,,,,
ba3d75612d560f805f51e10f2c2a870f,0.987306018,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
4cdfbd0f7e9bc9ea26224b18c9270719,0.988040892,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
5468638602519a70576f8bbc2cd28c66,0.988924688,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
71ab408327342a0f9fbe6213248293c8,0.990243902,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
d6092b65fa01b8e656f8641231839f68,0.990870968,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
f2a12a78ba0bd90b8405941ca1160692,0.992022899,Eukaryota,A,,Bicosoecida,uncultured,uncultured eukaryote,,,,,,
83e31dec9cd093ebb7f1e93555d108d4,0.994446162,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
c9805e64fe45300c7ac65ca77babe2d5,0.99452997,Eukaryota,A,,Bicosoecida,,,,,,,,
5a14894b09516fb9ec16f83579fea7d4,0.994732364,Eukaryota,A,,Bicosoecida,,,,,,,,
f54c72478f918c9fd950967080816580,0.994819348,Eukaryota,A,,Bicosoecida,Caecitellus,uncultured picobiliphyte,,,,,,
f86c7d858956e209574ce110538f8328,0.994947622,Eukaryota,A,,Bicosoecida,Caecitellus,Caecitellus parvulus,,,,,,
cbd105b9c642fedc13f18efd4cf3d614,0.995079318,Eukaryota,A,,Bicosoecida,Caecitellus,uncultured picobiliphyte,,,,,,
07702d2fec93b52ec262c212b3e768a5,0.995257676,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
e58a4ace1b83b716adcff46a3c879111,0.995265602,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
96b71fa6ccc5449258ab2c47a7d3813c,0.996734206,Eukaryota,A,,Bicosoecida,,,,,,,,
bbf006fea2e6782d243102c1901cfe30,0.996778951,Eukaryota,A,,Bicosoecida,,,,,,,,
368e3059eb27a5ae2aadeceb743a0a06,0.997218255,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
8996ec52effda87d7b7eaa2775b72e98,0.997278828,Eukaryota,A,,Bicosoecida,Rictus,uncultured marine eukaryote,,,,,,
6407dadbe4a7e21fedc1a7832422ebf0,0.997811299,Eukaryota,A,,Bicosoecida,,,,,,,,
d631bbe718abbb28425aab8d77e42fb5,0.997850951,Eukaryota,A,,Bicosoecida,,,,,,,,
35a3ffd720dc59e842f5f8264a9cf187,0.997858508,Eukaryota,A,,Bicosoecida,,,,,,,,
1b9801dc2f0c025c0d293423229456e1,0.99786309,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
ae794b26ea292968abf476d240b9d002,0.998406456,Eukaryota,A,,Bicosoecida,,,,,,,,
4050c34c2ec0505e2125588d6274931a,0.998596914,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
