Feature ID	Taxon	Confidence
0000d1a50f0c9ae122d1b45df38c4638	D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade);D_2__unidentified marine bacterioplankton;D_3__unidentified marine bacterioplankton;D_4__unidentified marine bacterioplankton;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton	0.920
0000f9a9a96f81bcfc9ab4393bf33e0e	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.940
0001d123420b59585627edf5a1292ae8	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Microvirga;Ambiguous_taxa	1.000
0003367c233ad8b39a1434737ecbe030	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae	0.960
000344488ab0a9e7719a29512e164641	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II	1.000
0003838d8eba0d0b7d07b6f067603962	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Duganella;Ambiguous_taxa	0.840
0004b574d7f0c770f04f7db380811370	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__uncultured;D_6__uncultured organism	0.980
00070bacd9b128f2d9aef29f4022b2e6	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Haliangiaceae;D_5__Haliangium	0.940
00074b6b951af20f37a9ee9bbe7a22c4	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria	0.960
0008256a343b8c58f1744d08bc53aefc	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria	1.000
0009ab95b42568d2f091afb79e2a7732	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.970
000b81679cc9b9cc05b351aab6f46617	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae	1.000
000fe261495b37f165129ecabea91437	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Ilumatobacteraceae;D_5__Ilumatobacter	1.000
0010115000e57870415cbc499f128214	D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)	1.000
001027cc45ea2eee2a577810c73773c1	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__NS11-12 marine group	0.990
0011be25e97ee03029a3b712fedfcc41	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Pseudophaeobacter;Ambiguous_taxa	0.940
00157ab1c0c4bfda346b18fcb857e4e1	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales;D_4__Streptosporangiaceae;D_5__Nonomuraea	0.860
0015c9a2d56c335b8bea39f2482583f5	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Phaeobacter;Ambiguous_taxa	0.820
0017c2d07ee11dba53b3e0455a353696	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Flammeovirgaceae;D_5__Flammeovirga	1.000
001b60743dd8b1af46bf729196ec742d	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales;D_4__Simkaniaceae	1.000
002085ea8c3c04471dd214414320a048	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured	0.960
0021404bd7820bc7544c12a5aa84707a	D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia	1.000
0021594debbf7673c3360ba93d846f4a	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.980
00215a424e8961264ee2288934db98b5	D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__SBR1031;D_4__A4b;D_5__metagenome;D_6__metagenome	0.990
0021e25ca98aaa61b52cb923802d5d11	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Nannocystaceae;D_5__Nannocystis;D_6__metagenome	0.980
002370bc9ac618c9d01c0a20a23b61d2	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales;D_4__Micromonosporaceae	1.000
0029505035b7e481805d72a7b657a0b3	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__uncultured;D_5__marine metagenome;D_6__marine metagenome	1.000
002c792980636480e7694004908b6c4b	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	1.000
