Feature ID	Taxon	Confidence
f20612aa1795765630747cc7c83d3a0f	D_0__Bacteria;D_1__Modulibacteria;D_2__Moduliflexia;D_3__Moduliflexales;D_4__Moduliflexaceae;D_5__uncultured bacterium;D_6__uncultured bacterium	1.000
442857ae5e675cdf0725a4f44c02396d	D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia	1.000
615bf80141cf6f7a026ff3d8380b63d6	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobulbaceae;D_5__uncultured	0.970
392c915eec3ad75821fa520f86816ce8	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter	0.840
c486a414bb748b8172f688f8a4c4d928	D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia;D_3__Hyaloperonospora arabidopsidis;D_4__Hyaloperonospora arabidopsidis;D_5__Hyaloperonospora arabidopsidis;D_6__Hyaloperonospora arabidopsidis	0.910
d944835824d228ddf24df44a43a5d69e	D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Sulfurospirillaceae;D_5__Sulfurospirillum;D_6__uncultured bacterium	0.870
8be5e3c3ae6e5e8facfbea1749872a30	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	1.000
85c39504d002604c24848d45c47b7672	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Lutibacter;D_6__uncultured bacterium	0.990
67b7abaa14bc03c899a0814b5916f777	D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria;D_3__Fibrobacterales;D_4__possible family 01	1.000
7f7e57697ed914377ef364547e450124	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	1.000
148990611a45fe66fabcb3b588da4b86	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria	1.000
e83996ad2f44ec81a05f7d86c5e256e3	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Portibacter;Ambiguous_taxa	0.890
76015d9280c668ed85dbc83914765a6a	D_0__Bacteria;D_1__Lentisphaerae;D_2__Oligosphaeria;D_3__SS1-B-02-17;D_4__uncultured Lentisphaerae bacterium;D_5__uncultured Lentisphaerae bacterium;D_6__uncultured Lentisphaerae bacterium	0.950
24f9c25aac4d52af50872001c38c4004	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavicella;D_6__uncultured bacterium	1.000
a1084a265141d3411f948b09161595f6	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Mucilaginibacter;D_6__uncultured bacterium	0.900
9b92063955cbe5acd881622420b64fd5	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae	1.000
b5057bd1d1bbba7c20cae211bc624ac0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Crocinitomix	1.000
f2c1dd97ce0793b1c17bf0f153361d13	D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__Ignavibacteriales	0.990
36b27d11f1fc5bf69744e4afb9235551	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__uncultured;D_5__marine metagenome;D_6__marine metagenome	0.910
130bfdeb4614bd7b4c41cbe8be37e520	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae;D_5__Desulfoconvexum	0.800
9632db224dad4a0ce69e17ab66c392f2	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola;D_6__uncultured Bacteroidetes bacterium	0.940
4af6c47a363e42a51818b6e7df94d151	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae	1.000
2a1b8a6bf3507b722c178ee3d590549b	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	1.000
cfba6288a85db7bfe77c3144ff0cc825	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria	1.000
4099b026aed19e3336abae34db6e0f2e	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae;D_5__Sva0996 marine group	1.000
1bf2fe2e507f03c802b3c1f4a19ae2c9	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	1.000
8200ee9736b762d5daf3470850d267a2	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	1.000
6986b9b281ebc7ee061d4f5ba4439779	D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured Planctomyces sp.;D_4__uncultured Planctomyces sp.;D_5__uncultured Planctomyces sp.;D_6__uncultured Planctomyces sp.	1.000
4d49cd019669697a134f5a57e46dc3a5	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__uncultured	0.990
c5c8f3ea73d40d73aa75e68301457393	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__DEV007;D_5__uncultured bacterium;D_6__uncultured bacterium	0.860
c4855193cea4b130db041e61e9330dde	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae	1.000
86e117a2bbdc7cbb85738bb36a86abb0	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae;D_5__Blastopirellula	1.000
56fb7c49293ac0ba113d75422945b1ce	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae	1.000
b67aa8048a655fd03f1cbd8c9f4b6d36	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae	0.990
79e2b6d098bc24e051a82e3d618d416f	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales;D_4__Legionellaceae;D_5__Legionella;Ambiguous_taxa	0.860
